total_time_ratio SNR
0.11430644074822532 -5
0.11508368309238821 -5
0.1164309031556039 -5
0.11430644074822528 -5
0.11446188921705788 -5
0.11808902015648479 -5
0.11295922068500958 -5
0.11228561065340174 -5
0.1139437276542826 -5
0.11788175553137467 -5
0.07756878594745842 -10
0.07782786672884605 -10
0.07762060210373593 -10
0.07648064666563036 -10
0.0750816104461371 -10
0.07316441266386858 -10
0.07435618425825173 -10
0.07673972744701799 -10
0.07663609513446293 -10
0.07575522047774498 -10
0.05901860200010364 -15
0.05787864656199804 -15
0.054925125654178966 -15
0.057256852686667706 -15
0.057930462718275566 -15
0.057930462718275545 -15
0.057101404217835126 -15
0.056427794186227266 -15
0.05777501424944299 -15
0.056531426498782324 -15
0.051349810871029584 -20
0.05181615627752733 -20
0.05233431784030259 -20
0.05264521477796777 -20
0.05046893621431163 -20
0.051194362402197005 -20
0.05191978859008238 -20
0.052178869371470024 -20
0.05274884709052282 -20
0.05155707549613969 -20
0.051764340121249794 -25
0.05083164930825431 -25
0.051608891652417214 -25
0.05052075237058916 -25
0.05015803927664645 -25
0.050987097777086904 -25
0.051712523964972265 -25
0.050624384683144195 -25
0.05072801699569926 -25
0.05077983315197679 -25
0.051194362402197005 -30
0.05020985543292398 -30
0.050676200839421724 -30
0.050572568526866674 -30
0.05114254624591947 -30
0.05036530390175656 -30
0.05026167158920151 -30
0.04963987771387118 -30
0.05026167158920151 -30
0.05186797243380486 -30
