total_time_ratio SNR
0.11332193377895224 -5
0.11814083631276232 -5
0.11606819006166123 -5
0.11301103684128708 -5
0.11549821234260842 -5
0.1112492875278512 -5
0.11140473599668377 -5
0.11938442406342299 -5
0.10948753821441524 -5
0.11839991709414995 -5
0.07694699207212807 -10
0.0703145240686046 -10
0.07197264106948546 -10
0.07388983885175399 -10
0.07290533188248095 -10
0.07306078035131354 -10
0.07311259650759105 -10
0.0756515881651899 -10
0.0784496606041764 -10
0.07767241826001346 -10
0.05689413959272501 -15
0.057930462718275566 -15
0.05694595574900255 -15
0.059277682781491266 -15
0.06057308668842945 -15
0.05777501424944297 -15
0.05414788331001606 -15
0.05404425099746102 -15
0.05907041815638116 -15
0.054614228716513814 -15
0.05046893621431161 -20
0.05321519249702057 -20
0.048189025338100426 -20
0.05166070780869475 -20
0.050624384683144195 -20
0.05399243484118347 -20
0.051349810871029584 -20
0.04917353230737344 -20
0.05067620083942174 -20
0.05145344318358465 -20
0.04829265765065548 -25
0.05362972174724079 -25
0.053059744028188 -25
0.0487071869008757 -25
0.04896626768226333 -25
0.05140162702730712 -25
0.051919788590082394 -25
0.05259339862169025 -25
0.049069899994818394 -25
0.049225348463650974 -25
0.05238613399658013 -30
0.052282501684025075 -30
0.052437950152857675 -30
0.0504171200580341 -30
0.04896626768226332 -30
0.05140162702730712 -30
0.053111560184465514 -30
0.05176434012124981 -30
0.051453443183584635 -30
0.051505259339862164 -30
